specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,w_0,w_e,w_total,N_u,failure_mode,buckling_axis
buchanan2018_25,buchanan2018,buchanan2018_D,experimental,1.4462,duplex,cold_formed,217950,579.5,4.5,measured,633.0,2.45,846.5,CHS,88.72,,2.33,2653.4,pin-pin,2653.4,2.00,0.67,2.67,126.4,global_flexural,-
buchanan2018_26,buchanan2018,buchanan2018_D,experimental,1.4462,duplex,cold_formed,217950,579.5,4.5,measured,633.0,2.45,846.5,CHS,88.67,,2.32,3082.5,pin-pin,3082.5,1.25,1.75,3.00,100.5,global_flexural,-
buchanan2018_27,buchanan2018,buchanan2018_E,experimental,1.4512,ferritic,cold_formed,218750,360.0,5.1,measured,375.5,1.60,438.0,CHS,80.01,,1.34,448.9,pin-pin,448.9,0.27,0.08,0.35,119.4,global_flexural,-
buchanan2018_28,buchanan2018,buchanan2018_E,experimental,1.4512,ferritic,cold_formed,218750,360.0,5.1,measured,375.5,1.60,438.0,CHS,80.04,,1.34,698.6,pin-pin,698.6,0.08,0.53,0.61,111.1,global_flexural,-
buchanan2018_29,buchanan2018,buchanan2018_E,experimental,1.4512,ferritic,cold_formed,218750,360.0,5.1,measured,375.5,1.60,438.0,CHS,80.03,,1.34,899.1,pin-pin,899.1,0.53,0.31,0.84,105.8,global_flexural,-
buchanan2018_30,buchanan2018,buchanan2018_E,experimental,1.4512,ferritic,cold_formed,218750,360.0,5.1,measured,375.5,1.60,438.0,CHS,80.13,,1.34,1099.1,pin-pin,1099.1,0.28,0.71,0.99,97.8,global_flexural,-
buchanan2018_31,buchanan2018,buchanan2018_E,experimental,1.4512,ferritic,cold_formed,218750,360.0,5.1,measured,375.5,1.60,438.0,CHS,80.00,,1.34,1599.3,pin-pin,1599.3,0.77,0.80,1.57,77.9,global_flexural,-
buchanan2018_32,buchanan2018,buchanan2018_F,experimental,1.4512,ferritic,cold_formed,219550,337.0,5.6,measured,346.0,2.40,467.0,CHS,101.70,,1.34,799.3,pin-pin,799.3,0.30,0.38,0.68,137.5,global_flexural,-
buchanan2018_33,buchanan2018,buchanan2018_F,experimental,1.4512,ferritic,cold_formed,219550,337.0,5.6,measured,346.0,2.40,467.0,CHS,101.82,,1.34,1099.5,pin-pin,1099.5,0.69,0.33,1.02,121.2,global_flexural,-
buchanan2018_34,buchanan2018,buchanan2018_F,experimental,1.4512,ferritic,cold_formed,219550,337.0,5.6,measured,346.0,2.40,467.0,CHS,101.71,,1.34,1599.3,pin-pin,1599.3,0.84,0.58,1.42,104.1,global_flexural,-
