specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,buckling_axis,w_0,w_e,w_total,N_u,failure_mode,A,I_major,I_minor,Le_source,buckling_axis_source,R,lambda,N_cr,N_y,lambda_bar,chi_exp,w_0_norm,w_e_norm,epsilon,section_class,cs_slenderness,cs_slenderness_norm,lambda_0,inferred_failure_mode,global_buckling_eligible,failure_mode_conflict
gardner2004_01,gardner2004,gardner2004_A,experimental,1.4301,austenitic,cold_formed,203200,416.0,3.5,measured,544.0,3.1,,SHS,79.6,79.7,3.78,1899.8,pin-pin,1899.8,-,0.4,0.0,0.4,293.0,,1147.1544000000004,1104373.2377815202,1102195.5726499206,reported,symmetric,30.99690936915788,61.289981442159934,612.4439439102451,477.21623040000014,0.8827229757478853,0.6139774411159673,0.00021054847878724077,0.0,0.7393319427778848,2,19.084656084656086,0.8408266968624369,0.4,global_flexural,True,False
gardner2004_02,gardner2004,gardner2004_A,experimental,1.4301,austenitic,cold_formed,203200,416.0,3.5,measured,544.0,3.1,,SHS,79.8,79.5,3.74,2000.7,pin-pin,2000.7,-,0.4,0.0,0.4,307.0,,1135.6136000000006,1096512.3886733868,1090041.833597787,reported,symmetric,30.981774621842725,64.57667530088705,546.138345511205,472.41525760000025,0.9300592632630941,0.649852000038366,0.000199930024491428,0.0,0.7393319427778848,2,19.33689839572192,0.8519399214488078,0.4,global_flexural,True,False
gardner2004_03,gardner2004,gardner2004_B,experimental,1.4301,austenitic,cold_formed,207100,370.0,4.7,measured,446.0,2.4,,SHS,99.9,99.8,1.86,2000.3,pin-pin,2000.3,-,0.1,0.0,0.1,176.0,,729.0455999999995,1168034.3122471198,1166248.1184483196,reported,symmetric,39.9961447475394,50.0123202530179,595.7726063668068,269.7468719999998,0.6728805011219249,0.6524635436736412,4.999250112483128e-05,0.0,0.7914317540787843,4,51.70967741935484,2.1282369637728262,0.4,interactive,False,False
gardner2004_04,gardner2004,gardner2004_C,experimental,1.4301,austenitic,cold_formed,208800,379.0,3.8,measured,468.0,2.6,,SHS,100.2,100.1,2.83,2000.4,pin-pin,2000.4,-,0.1,0.0,0.1,350.0,,1101.6623999999993,1741818.6562143192,1739137.5563247192,reported,symmetric,39.732208268355585,50.34706318081,895.6338139451864,417.53004959999976,0.6827765985471214,0.838263019237311,4.999000199960008e-05,0.0,0.7851812604489943,4,33.40636042402827,1.3858647900609413,0.4,interactive,False,False
gardner2004_05,gardner2004,gardner2004_D,experimental,1.4301,austenitic,cold_formed,203400,437.0,3.9,measured,563.0,2.9,,SHS,100.0,99.8,3.77,2000.4,pin-pin,2000.4,-,0.6,0.0,0.6,464.0,,1449.640400000002,2239601.807080388,2232630.540835589,reported,symmetric,39.24445377515133,50.972807812822886,1120.0408526292483,633.4928548000009,0.7520624906566571,0.7324470931033449,0.00029994001199760045,0.0,0.7217038790589314,4,24.52519893899204,1.1069171693971853,0.4,interactive,False,False
gardner2004_06,gardner2004,gardner2004_E,experimental,1.4301,austenitic,cold_formed,197900,473.0,4.4,measured,590.0,2.6,,SHS,100.5,100.1,5.92,1999.9,pin-pin,1999.9,-,0.3,0.0,0.3,842.0,,2234.9184000000005,3341568.7490099203,3320447.9574323203,reported,symmetric,38.54495148328098,51.88487527004579,1621.5324963274236,1057.1164032000004,0.8074182799443366,0.7965064182630969,0.00015000750037501875,0.0,0.6842528429503776,1,14.97635135135135,0.7129368029258594,0.4,global_flexural,True,False
gardner2004_07,gardner2004,gardner2004_F,experimental,1.4301,austenitic,cold_formed,205200,330.0,6.4,measured,392.0,2.1,,SHS,100.7,100.1,7.96,1999.6,pin-pin,1999.6,-,0.3,0.0,0.3,770.0,,2943.2896,4243348.400924054,4202436.018943253,reported,symmetric,37.786272928161736,52.918688323709155,2128.5896974645525,971.285568,0.6755033232931003,0.7927637611104709,0.00015003000600120024,0.0,0.8341727374136342,1,10.650753768844222,0.41589718127929687,0.4,global_flexural,True,False
gardner2004_08,gardner2004,gardner2004_G,experimental,1.4301,austenitic,cold_formed,195400,294.0,4.5,measured,366.0,2.3,,SHS,150.0,150.4,3.77,1999.8,pin-pin,1999.8,-,0.0,0.0,0.0,692.0,,2208.164399999998,7912551.001420508,7880209.725866914,reported,symmetric,59.73834491770588,33.47598603133175,3800.04686548808,649.2003335999993,0.41332806108210207,1.0659267473919252,0.0,0.0,0.8624082417165483,4,37.893899204244036,1.4312583120156637,0.4,interactive,False,False
gardner2004_09,gardner2004,gardner2004_H,experimental,1.4301,austenitic,cold_formed,193100,469.0,3.6,measured,617.0,3.0,,RHS,40.0,60.0,3.83,2000.1,pin-pin,2000.1,major,1.0,0.0,1.0,109.0,,707.3243999999997,333579.7079237199,172472.65760371994,reported,reported,21.716532994621314,92.10033666494456,158.91987821210088,331.7351435999999,1.444796329010175,0.32857537738428516,0.0004999750012499375,0.0,0.678779940283074,1,13.66579634464752,0.6557941972977066,0.4,global_flexural,True,False
gardner2004_10,gardner2004,gardner2004_I,experimental,1.4301,austenitic,cold_formed,205900,370.0,5.2,measured,442.0,2.4,,RHS,49.8,99.8,1.83,2000.2,pin-pin,2000.2,major,0.6,0.0,0.6,157.0,,534.1404000000002,708435.2135933191,240192.75979331974,reported,reported,36.41852534646014,54.92259724883172,359.83995707895144,197.63194800000008,0.7410949988975736,0.7944059732690584,0.00029997000299970003,0.0,0.7891355255815554,4,52.53551912568306,2.1685181305030508,0.4,interactive,False,False
