specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,Le_source,buckling_axis,buckling_axis_source,w_0,w_e,w_total,w_total_norm,N_u,reported_failure_mode,A,I_major,I_minor,R,N_cr,epsilon,section_class,cs_slenderness_norm,lambda_0,A_eff,rho_eff,N_squash,lambda_bar,chi_exp,Delta,aspect_ratio,hardening_ratio,chi_perfect,chi_kgw,chi_eurocode,N_perfect,N_kgw,N_eurocode,kgw_convergence_flag,inferred_failure_mode,anomalous_interactive_mode,flexural_scope
liu2003_01,liu2003,liu2003_A,experimental,304,austenitic,cold_formed,192000,381.0,3.0,measured,,,,SHS,70.0,69.9,1.92,1199.0,fixed-fixed,599.5,reported,-,symmetric,0.241,0.0,0.241,0.00040200166805671393,189.8,,522.4704000000002,403771.2993075205,402882.4720051205,27.768878552023725,2124.2272336040705,0.7509524011622831,4,1.4946636823836599,0.4,402.909789242232,0.771162900792527,153.5086297012904,0.2688226830025972,1.2364125741290788,0.001984375,1.0014306151645207,,1.5939121159388028,1.595130877020081,1.0,244.67926478204993,244.8663551255702,153.5086297012904,True,local,False,True
liu2003_02,liu2003,liu2003_A,experimental,304,austenitic,cold_formed,192000,381.0,3.0,measured,,,,SHS,70.1,69.9,1.95,2000.0,fixed-fixed,1000.0,reported,-,symmetric,0.952,0.0,0.952,0.0009519999999999999,188.1,,530.7900000000009,410903.58432500035,409097.0783250009,27.762068587210855,775.2242543441715,0.7509524011622831,4,1.472558620017461,0.4,414.0137816547452,0.7799954438756278,157.73925081045792,0.4510827411611016,1.1924742829292632,0.001984375,1.0028612303290414,,1.0822151622545118,1.084729064076912,0.9697592168561525,170.70780890974484,171.1043498998213,152.9690923334259,True,interactive,False,True
liu2003_03,liu2003,liu2003_A,experimental,304,austenitic,cold_formed,192000,381.0,3.0,measured,,,,SHS,70.2,69.9,1.92,2800.5,fixed-fixed,1400.25,reported,-,symmetric,0.635,0.0,0.635,0.00045349044813426176,159.2,,523.2384000000002,406444.3146547203,403769.99377152073,27.779038910194668,390.23287410672117,0.7509524011622831,4,1.4991820127415305,0.4,403.0564430381504,0.7703112826546183,153.5645047975353,0.627311855828889,1.0366979023563727,0.001984375,1.004291845493562,,0.8275517703932523,0.8312728472878137,0.8561798111163811,127.08257781476344,127.6540031453903,131.47882871173437,True,interactive,False,True
liu2003_04,liu2003,liu2003_A,experimental,304,austenitic,cold_formed,192000,381.0,3.0,measured,,,,SHS,70.1,70.0,1.93,3599.0,fixed-fixed,1799.5,reported,-,symmetric,3.788,0.0,3.788,0.0021050291747707695,115.0,,525.8864000000003,407489.1831173866,406593.35910378647,27.805721635068146,237.9345738242012,0.7509524011622831,4,1.4887172787002445,0.4,406.7247047364046,0.7734079161134503,154.96211250457017,0.8070194235248535,0.7421168835486055,0.001984375,1.0014285714285713,,0.6612418229098039,0.6564364084259586,0.7256151798731435,102.4674297544761,101.72277257459938,112.44286113852598,True,interactive,False,True
liu2003_05,liu2003,liu2003_B,experimental,304,austenitic,cold_formed,188000,497.0,3.0,measured,,,,SHS,69.9,70.0,4.86,1199.0,fixed-fixed,599.5,reported,-,symmetric,0.317,0.0,0.317,0.0005287739783152627,669.3,,1265.3495999999996,899498.7582307202,897435.8921239203,26.631550458869164,4633.217142595583,0.6506164116068839,1,0.6209742403497672,0.4,1265.3495999999996,1.0,628.8787511999998,0.36841909649685606,1.0642751066447547,0.002643617021276596,1.0014306151645207,,1.3816239705166495,1.38389807735565,1.0,868.8739572064959,870.3040946755018,628.8787511999998,True,yielding,False,True
liu2003_06,liu2003,liu2003_B,experimental,304,austenitic,cold_formed,188000,497.0,3.0,measured,,,,SHS,70.0,70.0,4.91,2000.0,fixed-fixed,1000.0,reported,-,symmetric,1.905,0.0,1.905,0.001905,510.4,,1278.3676,907814.8966058535,907814.8966058535,26.64837768670606,1684.437492996135,0.6506164116068839,1,0.6136310143682844,0.4,1278.3676,1.0,635.3486972000001,0.6141558911444609,0.8033383907913048,0.002643617021276596,1.0,,0.9146321861317327,0.9205816934320575,0.8652217706454006,581.1103678759844,584.8903795882276,549.7175247686325,True,global_flexural,False,True
liu2003_07,liu2003,liu2003_B,experimental,304,austenitic,cold_formed,188000,497.0,3.0,measured,,,,SHS,70.0,69.9,4.91,2799.0,fixed-fixed,1399.5,reported,-,symmetric,2.545,0.0,2.545,0.001818506609503394,407.2,,1277.3855999999996,906772.8119211203,904691.8376523204,26.61272388137344,857.062436295674,0.6506164116068839,1,0.6136310143682844,0.4,1277.3855999999996,1.0,634.8606431999998,0.8606626806429497,0.6414006039932136,0.002643617021276596,1.0014306151645207,,0.6693546064625094,0.666057495534963,0.6855733061800534,424.9468959876715,422.85369002350757,435.2435101222191,True,global_flexural,False,True
liu2003_08,liu2003,liu2003_B,experimental,304,austenitic,cold_formed,188000,497.0,3.0,measured,,,,SHS,69.9,70.0,4.86,3600.0,fixed-fixed,1800.0,reported,-,symmetric,3.789,0.0,3.789,0.002105,280.7,,1265.3495999999996,899498.7582307202,897435.8921239203,26.631550458869164,513.9442590596104,0.6506164116068839,1,0.6209742403497672,0.4,1265.3495999999996,1.0,628.8787511999998,1.1061791054117447,0.4463499513449614,0.002643617021276596,1.0014306151645207,,0.5122211659366416,0.4621575022776139,0.5158889612423486,322.125007172443,290.64103289005686,324.43160570395327,True,global_flexural,False,True
