specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,w_0,w_e,w_total,N_u,failure_mode,buckling_axis,A,I_major,I_minor,Le_source,buckling_axis_source,R,lambda,N_cr,N_y,lambda_bar,chi,epsilon,section_class,cs_slenderness,lambda_0,inferred_failure_mode
buchanan2018_12,buchanan2018,buchanan2018_B,experimental,1.4307/1.4301,austenitic,cold_formed,199700,373.0,4.6,measured,424.0,2.95,714.5,CHS,103.97,,1.88,954.0,pin-pin,954.0,0.15,1.0,1.15,204.2,global_flexural,-,602.9633647293663,785804.6564675397,785804.6564675397,reported,symmetric,36.10038521262621,26.426310810288417,1701.7496064731833,224.90533504405363,0.3635398714974501,0.9079375549717487,0.7740319726612733,4,55.3031914893617,0.4,local
buchanan2018_13,buchanan2018,buchanan2018_B,experimental,1.4307/1.4301,austenitic,cold_formed,199700,373.0,4.6,measured,424.0,2.95,714.5,CHS,103.92,,1.75,2653.5,pin-pin,2653.5,0.25,2.24,2.49,109.0,global_flexural,-,561.7089124802214,733154.5071826346,733154.5071826346,reported,symmetric,36.12784833061608,73.44749611759539,205.22730169988418,209.5174243551226,1.0103980647198285,0.5202431269642276,0.7740319726612733,4,59.38285714285714,0.4,interactive
buchanan2018_14,buchanan2018,buchanan2018_C,experimental,1.4307/1.4301,austenitic,cold_formed,204400,346.0,5.0,measured,390.0,2.8,738.0,CHS,104.14,,1.86,1153.5,pin-pin,1153.5,2.0,-0.97,1.03,180.8,global_flexural,-,597.6590996930453,781787.2598594525,781787.2598594525,reported,symmetric,36.1674197310231,31.893345131573472,1185.3156757150116,206.79004849379368,0.4176839656254912,0.8743167348569305,0.8130676466772108,3,55.98924731182795,0.4,global_flexural
buchanan2018_15,buchanan2018,buchanan2018_C,experimental,1.4307/1.4301,austenitic,cold_formed,204400,346.0,5.0,measured,390.0,2.8,738.0,CHS,104.09,,1.85,1656.6,pin-pin,1656.6,0.05,1.67,1.72,154.8,global_flexural,-,594.2134008705885,776669.6041025739,776669.6041025739,reported,symmetric,36.15321579749164,45.82164998210027,570.9283799746734,205.59783670122363,0.6000928531350525,0.7529262101378847,0.8130676466772108,3,56.26486486486486,0.4,global_flexural
buchanan2018_16,buchanan2018,buchanan2018_C,experimental,1.4307/1.4301,austenitic,cold_formed,204400,346.0,5.0,measured,390.0,2.8,738.0,CHS,104.08,,1.79,2153.6,pin-pin,2153.6,0.75,1.41,2.16,126.4,global_flexural,-,575.2227874389026,752567.4385236104,752567.4385236104,reported,symmetric,36.17051319790749,59.540211337797345,327.3376614717109,199.0270844538603,0.7797548825046723,0.6350894419563425,0.8130676466772108,3,58.14525139664804,0.4,global_flexural
buchanan2018_17,buchanan2018,buchanan2018_C,experimental,1.4307/1.4301,austenitic,cold_formed,204400,346.0,5.0,measured,390.0,2.8,738.0,CHS,104.1,,1.79,3084.0,pin-pin,3084.0,2.0,0.98,2.98,89.7,global_flexural,-,575.3352564559015,753008.8663998524,753008.8663998524,reported,symmetric,36.177583183512944,85.24615877064608,159.71731032938163,199.0659987337419,1.1164069965936205,0.45060432505089454,0.8130676466772108,3,58.15642458100558,0.4,global_flexural
buchanan2018_18,buchanan2018,buchanan2018_D,experimental,1.4462,duplex,cold_formed,217950,579.5,4.5,measured,633.0,2.45,846.5,CHS,88.63,,2.37,403.9,pin-pin,403.9,0.2,0.29,0.49,425.2,global_flexural,-,642.2552640478126,597811.5610442902,597811.5610442902,reported,symmetric,30.50902427971108,13.238705908684173,7882.667755480605,372.1869255157074,0.21729210414007205,1.1424366920219913,0.6487479526570138,3,37.39662447257383,0.4,yielding
buchanan2018_19,buchanan2018,buchanan2018_D,experimental,1.4462,duplex,cold_formed,217950,579.5,4.5,measured,633.0,2.45,846.5,CHS,88.63,,2.35,553.83,pin-pin,553.83,0.3,0.12,0.42,404.6,global_flexural,-,636.9830432565594,593171.4212019657,593171.4212019657,reported,symmetric,30.515899339524633,18.14889981900915,4159.909508388408,369.1316735671762,0.2978850543777837,1.0960858386658308,0.6487479526570138,3,37.714893617021275,0.4,yielding
buchanan2018_20,buchanan2018,buchanan2018_D,experimental,1.4462,duplex,cold_formed,217950,579.5,4.5,measured,633.0,2.45,846.5,CHS,88.78,,2.41,753.93,pin-pin,753.93,0.05,0.75,0.8,389.6,global_flexural,-,653.9278515522254,610244.2449538154,610244.2449538154,reported,symmetric,30.548291687097667,24.67993980555151,2309.3952136242324,378.95118997451465,0.4050815908585755,1.0281007430698437,0.6487479526570138,3,36.83817427385892,0.4,global_flexural
buchanan2018_21,buchanan2018,buchanan2018_D,experimental,1.4462,duplex,cold_formed,217950,579.5,4.5,measured,633.0,2.45,846.5,CHS,88.77,,2.37,954.0,pin-pin,954.0,0.15,0.74,0.89,344.4,global_flexural,-,643.2976444902741,600725.5653441817,600725.5653441817,reported,symmetric,30.558503112881688,31.218806643635926,1419.8288095513192,372.79098498211386,0.5124065925422426,0.923842082759925,0.6487479526570138,3,37.45569620253164,0.4,global_flexural
