specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,buckling_axis,w_0,w_e,w_total,N_u,failure_mode,A,I_major,I_minor,Le_source,buckling_axis_source,R,lambda,N_cr,N_y,lambda_bar,chi,epsilon,section_class,cs_slenderness,lambda_0,inferred_failure_mode
young2002_01,young2002,young2002_A,experimental,304,austenitic,cold_formed,190000,242.0,9.0,measured,,,,CHS,89.0,,2.71,1000.0,fixed-fixed,500.0,-,0.25,0.0,0.25,198.4,,734.6485615120935,684445.2684545366,684445.2684545366,reported,symmetric,30.52316374493313,16.38100179189323,5133.955065721197,177.78495188592663,0.18608932802978292,1.1159549663533994,0.9373319080580972,1,32.84132841328413,0.4,yielding
young2002_02,young2002,young2002_A,experimental,304,austenitic,cold_formed,190000,242.0,9.0,measured,,,,CHS,89.2,,2.83,1500.0,fixed-fixed,750.0,-,0.5,0.0,0.5,177.4,,767.8903816982573,716805.1110503534,716805.1110503534,reported,symmetric,30.552794062082114,24.547673069639018,2389.636883487509,185.82947237097827,0.2788632859123795,0.954638668110997,0.9373319080580972,1,31.519434628975265,0.4,yielding
young2002_03,young2002,young2002_A,experimental,304,austenitic,cold_formed,190000,242.0,9.0,measured,,,,CHS,89.0,,2.78,2001.0,fixed-fixed,1000.5,-,0.38,0.0,0.38,165.1,,753.0133696871836,700454.6178110943,700454.6178110943,reported,symmetric,30.499214743989715,32.80412326671991,1312.1973705353528,182.22923546429843,0.3726571386086486,0.9060017158023235,0.9373319080580972,1,32.014388489208635,0.4,yielding
young2002_04,young2002,young2002_A,experimental,304,austenitic,cold_formed,190000,242.0,9.0,measured,,,,CHS,88.9,,2.78,2499.0,fixed-fixed,1249.5,-,2.75,0.0,2.75,151.6,,752.1400069294856,698021.9163298942,698021.9163298942,reported,symmetric,30.46387778993344,41.015789539862446,838.3973252965735,182.0178816769355,0.46594224279135904,0.8328852011863078,0.9373319080580972,1,31.978417266187055,0.4,global_flexural
young2002_05,young2002,young2002_A,experimental,304,austenitic,cold_formed,190000,242.0,9.0,measured,,,,CHS,88.9,,2.68,3001.0,fixed-fixed,1500.5,-,0.13,0.0,0.13,133.4,,725.9265578279321,675208.864049742,675208.864049742,reported,symmetric,30.49809584219972,49.1997929235891,562.3665515885139,175.67422699435957,0.5589130946122078,0.7593601080953276,0.9373319080580972,1,33.17164179104478,0.4,global_flexural
young2002_06,young2002,young2002_B,experimental,304,austenitic,cold_formed,195000,247.0,7.0,measured,,,,CHS,168.5,,3.31,999.0,fixed-fixed,499.5,-,0.25,0.0,0.25,474.9,,1717.7565753779088,5861563.503220958,5861563.503220958,reported,symmetric,58.41520799415168,8.550855456168335,45214.40770094457,424.2858741183435,0.09687034878417994,1.11929250764436,0.939924809022797,2,50.90634441087613,0.4,yielding
young2002_07,young2002,young2002_B,experimental,304,austenitic,cold_formed,195000,247.0,7.0,measured,,,,CHS,168.8,,3.37,1500.0,fixed-fixed,750.0,-,0.25,0.0,0.25,461.0,,1751.4350769429213,5993945.415070045,5993945.415070045,reported,symmetric,58.50047200664286,12.820409379172801,20508.061616801093,432.6044640049016,0.14523898041342267,1.065638564457293,0.939924809022797,2,50.089020771513354,0.4,yielding
young2002_08,young2002,young2002_B,experimental,304,austenitic,cold_formed,195000,247.0,7.0,measured,,,,CHS,168.7,,3.26,2004.0,fixed-fixed,1002.0,-,0.38,0.0,0.38,431.6,,1694.3689888682609,5799194.150603056,5799194.150603056,reported,symmetric,58.50322768873528,17.127260145903605,11116.461350507467,418.5091402504604,0.19403013798510932,1.0312797463436647,0.939924809022797,2,51.74846625766871,0.4,yielding
young2002_09,young2002,young2002_C,experimental,304,austenitic,cold_formed,202000,248.0,9.0,measured,,,,CHS,322.5,,4.25,1499.0,fixed-fixed,749.5,-,0.25,0.0,0.25,1119.7,,4249.2004135210445,53806097.780018374,53806097.780018374,reported,symmetric,112.52839919327032,6.660540853449049,190958.6505567785,1053.8017025532192,0.07428647987711566,1.0625338688361559,0.9547158398546824,3,75.88235294117646,0.4,yielding
young2002_10,young2002,young2002_C,experimental,304,austenitic,cold_formed,202000,248.0,9.0,measured,,,,CHS,320.4,,4.48,1999.0,fixed-fixed,999.5,-,0.62,0.0,0.62,1087.8,,4446.36394102695,55482572.28673734,55482572.28673734,reported,symmetric,111.7058172164725,8.94760921951888,110724.08640962616,1102.6982573746836,0.09979465734976865,0.9864892709541833,0.9547158398546824,3,71.51785714285712,0.4,yielding
young2002_11,young2002,young2002_C,experimental,304,austenitic,cold_formed,202000,248.0,9.0,measured,,,,CHS,324.1,,4.24,2498.0,fixed-fixed,1249.0,-,0.5,0.0,0.5,1045.7,,4260.6480629914695,54498160.91490015,54498160.91490015,reported,symmetric,113.09752274033231,11.043566381800044,69647.9094186663,1056.6407196218845,0.12317132945267589,0.9896457524126085,0.9547158398546824,3,76.43867924528303,0.4,yielding
young2002_12,young2002,young2002_C,experimental,304,austenitic,cold_formed,202000,248.0,9.0,measured,,,,CHS,324.3,,4.38,2998.0,fixed-fixed,1499.0,-,1.5,0.0,1.5,1009.5,,4402.155449205634,56329976.06555649,56329976.06555649,reported,symmetric,113.11940085590973,13.251484614115045,49978.98314124233,1091.734551402997,0.14779672804177854,0.9246753239628472,0.9547158398546824,3,74.04109589041096,0.4,yielding
