specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,t_f,t_w,L,boundary_condition,Le,buckling_axis,w_0,w_e,w_total,N_u,failure_mode,A,I_major,I_minor,R,lambda,N_cr,N_y,lambda_bar,chi,epsilon,section_class,cs_slenderness,lambda_0,inferred_failure_mode
gardner2016_12,gardner2016,gardner2016_E,experimental,1.4404,austenitic,laser_welded,197200,267.0,5.0,measured,323.0,2.7,560.0,I,75.87,150.18,6.91,9.81,6.91,634.1,pin-pin,634.1,minor,0.02,0.53,0.55,642.7,global_flexural,2390.739,8626058.21772954,717638.730346385,17.325542870232688,36.59914178443771,3473.737674196515,638.327313,0.42867011198075267,1.0068502270088513,0.9091218763472518,1,18.894356005788712,0.2,global_flexural
gardner2016_13,gardner2016,gardner2016_E,experimental,1.4404,austenitic,laser_welded,197200,267.0,5.0,measured,323.0,2.7,560.0,I,75.91,150.22,6.91,9.85,6.91,1361.1,pin-pin,1361.1,minor,0.05,1.3,1.35,427.4,global_flexural,2397.3202,8658813.78851147,721683.7258584682,17.350437634366386,78.44758897055367,758.1820529991387,640.0844934,0.9188230955439041,0.6677243464057958,0.9091218763472518,1,18.888567293777136,0.2,global_flexural
gardner2016_14,gardner2016,gardner2016_E,experimental,1.4404,austenitic,laser_welded,197200,267.0,5.0,measured,323.0,2.7,560.0,I,75.9,150.34,6.87,9.86,6.87,2331.1,pin-pin,2331.1,minor,0.5,0.94,1.44,188.3,global_flexural,2394.1074,8672432.677325984,722069.4523121552,17.36671477359215,134.22803508840218,258.6210195517287,639.2266758,1.5721556306210465,0.29457469021351507,0.9091218763472518,1,19.013100436681224,0.2,global_flexural
gardner2016_15,gardner2016,gardner2016_B,experimental,1.4307,austenitic,laser_welded,190700,270.0,4.0,measured,361.0,3.2,694.0,I,50.56,51.0,3.93,3.93,3.99,680.1,pin-pin,680.1,major,0.25,0.8,1.05,184.5,global_flexural,569.5302,247325.86366866002,84885.28493888502,20.838976656090768,32.63595958783427,1006.4087941836345,153.773154,0.39088864035110227,1.1998193130642296,0.8890327264575371,1,10.81203007518797,0.2,global_flexural
gardner2016_16,gardner2016,gardner2016_B,experimental,1.4307,austenitic,laser_welded,190700,270.0,4.0,measured,361.0,3.2,694.0,I,50.6,50.59,3.86,3.86,4.04,1130.1,pin-pin,1130.1,major,0.5,1.4,1.9,141.4,global_flexural,563.8268,240265.4191344767,83582.11364730667,20.642998290751088,54.74495439484347,354.0853486253353,152.233236,0.6556933229400264,0.9288379050156957,0.8890327264575371,1,10.611386138613863,0.2,global_flexural
gardner2016_17,gardner2016,gardner2016_B,experimental,1.4307,austenitic,laser_welded,190700,270.0,4.0,measured,361.0,3.2,694.0,I,50.32,50.28,3.98,3.98,3.99,1580.1,pin-pin,1580.1,major,0.75,1.4,2.15,110.4,global_flexural,569.404,240392.62219093335,84742.89529791333,20.547089399422262,76.9014028840712,181.21845649186773,153.73908,0.921066369553061,0.7180997830870329,0.8890327264575371,1,10.606516290726816,0.2,global_flexural
gardner2016_18,gardner2016,gardner2016_B,experimental,1.4307,austenitic,laser_welded,190700,270.0,4.0,measured,361.0,3.2,694.0,I,50.55,50.9,3.94,3.94,4.01,2530.1,pin-pin,2530.1,major,3.0,0.0,3.0,63.2,global_flexural,570.8441999999999,246726.65387614002,85053.15394183497,20.789748617285696,121.69940322877888,72.54226876183625,154.12793399999998,1.4576226610285106,0.41004896620491915,0.8890327264575371,1,10.728179551122194,0.2,global_flexural
gardner2016_19,gardner2016,gardner2016_B,experimental,1.4307,austenitic,laser_welded,190700,270.0,4.0,measured,361.0,3.2,694.0,I,50.55,50.21,3.91,3.91,4.0,3030.1,pin-pin,3030.1,major,0.5,2.9,3.4,47.8,global_flexural,564.861,237744.68491367498,84402.21612937498,20.515618427954372,147.69722933973156,48.73571389388194,152.51247,1.7690047999003478,0.3134169946890244,0.8890327264575371,1,10.5975,0.2,global_flexural
gardner2016_20,gardner2016,gardner2016_D,experimental,1.4571,austenitic,laser_welded,186800,222.0,3.2,measured,331.0,3.9,580.0,I,67.51,101.91,4.94,4.94,4.99,1330.1,pin-pin,1330.1,major,0.25,0.8,1.05,304.9,global_flexural,1126.2285000000002,1893455.3202845983,254279.05525273757,41.00287168793305,32.43919133574837,1973.1635851213348,250.02272700000003,0.3559657372779482,1.2194891386813804,0.9703674776150742,1,18.442885771543086,0.2,global_flexural
gardner2016_21,gardner2016,gardner2016_D,experimental,1.4571,austenitic,laser_welded,186800,222.0,3.2,measured,331.0,3.9,580.0,I,67.94,102.37,5.01,5.01,5.21,2330.1,pin-pin,2330.1,major,0.25,2.9,3.15,242.2,global_flexural,1161.9023,1956600.515819339,262944.69645016914,41.03611858357854,56.7816859982571,664.4000572731834,257.9423106,0.6230838035096243,0.9389696457189137,0.9703674776150742,1,17.725527831094052,0.2,global_flexural
gardner2016_22,gardner2016,gardner2016_D,experimental,1.4571,austenitic,laser_welded,186800,222.0,3.2,measured,331.0,3.9,580.0,I,67.93,102.11,5.01,5.01,5.04,3080.1,pin-pin,3080.1,major,1.0,2.9,3.9,184.0,global_flexural,1144.7922,1933815.5211418339,262723.21398407506,41.100224107250924,74.94119720521444,375.80454262530196,254.1438684,0.822353992722638,0.7239993675959958,0.9703674776150742,1,18.2718253968254,0.2,global_flexural
